id;name;role
1;Gibraltar Pound Fully-configurable B2C;Unbranded Towels
2;synthesize Cambridgeshire Concrete;SDR recontextualize Groves
3;Executive Investment Account generating;Division Money Market Account global
4;SDD;Checking Account
5;stable pink;Svalbard & Jan Mayen Islands Planner
6;generate;Naira deposit Generic Soft Mouse
7;e-business Credit Card Account Bedfordshire;directional Universal
8;Tunnel Mobility;Ameliorated
9;sensor reboot Refined Concrete Keyboard;Supervisor Developer next generation
10;Center;Isle Granite
